Class,Family,Genus,Species,BodyMass,Invader_NZ
Mammal,Dasypodidae,Chaetophractus,vellerosus,1030.01,0
Mammal,Dasypodidae,Chaetophractus,villosus,4540.04,0
Mammal,Dasypodidae,Chlamyphorus,truncatus,44.3,0
Mammal,Dasypodidae,Euphractus,sexcinctus,4782.89,0
Mammal,Dasypodidae,Zaedyus,pichiy,1380,0
Mammal,Dasypodidae,Cabassous,unicinctus,4799.99,0
Mammal,Dasypodidae,Cabassous,centralis,3809.96,0
Mammal,Dasypodidae,Cabassous,chacoensis,1490.01,0
Mammal,Dasypodidae,Cabassous,tatouay,5349.95,0
Mammal,Dasypodidae,Priodontes,maximus,45359.68,0
Mammal,Dasypodidae,Tolypeutes,matacus,1200,0
Mammal,Dasypodidae,Tolypeutes,tricinctus,1487,0
Mammal,Bradypodidae,Bradypus,pygmaeus,4022.57,0
Mammal,Bradypodidae,Bradypus,torquatus,3899.96,0
Mammal,Bradypodidae,Bradypus,tridactylus,3849.99,0
Mammal,Bradypodidae,Bradypus,variegatus,4335.01,0
Mammal,Megalonychidae,Choloepus,didactylus,5160,0
Mammal,Megalonychidae,Choloepus,hoffmanni,4750.01,0
Mammal,Cyclopedidae,Cyclopes,didactylus,329.5,0
Mammal,Myrmecophagidae,Myrmecophaga,tridactyla,22333.15,0
Mammal,Myrmecophagidae,Tamandua,mexicana,4209.98,0
Mammal,Myrmecophagidae,Tamandua,tetradactyla,5515.06,0
Mammal,Tupaiidae,Anathana,ellioti,160,0
Mammal,Tupaiidae,Dendrogale,melanura,60,0
Mammal,Tupaiidae,Dendrogale,murina,50,0
Mammal,Tupaiidae,Tupaia,moellendorffi,150.45,0
Mammal,Tupaiidae,Tupaia,gracilis,74.58,0
Mammal,Tupaiidae,Tupaia,tana,197.83,0
Mammal,Tupaiidae,Tupaia,splendidula,160,0
Mammal,Tupaiidae,Tupaia,picta,147.5,0
Mammal,Tupaiidae,Tupaia,palawanensis,168.05,0
Mammal,Tupaiidae,Tupaia,nicobarica,170.25,0
Mammal,Tupaiidae,Tupaia,montana,199,0
Mammal,Tupaiidae,Tupaia,belangeri,200,0
Mammal,Tupaiidae,Tupaia,javanica,105,0
Mammal,Tupaiidae,Tupaia,minor,64.28,0
Mammal,Tupaiidae,Tupaia,glis,169.83,0
Mammal,Tupaiidae,Tupaia,dorsalis,265,0
Mammal,Tupaiidae,Tupaia,chrysogaster,131.08,0
Mammal,Tupaiidae,Tupaia,longipes,168.05,0
Mammal,Tupaiidae,Urogale,everetti,350,0
